LakeName,LakeSize,LakeDepth,LocationGoogleMaps,OpenDate,CloseDate,2Pole,WDFWBoatLaunch,PrivateResort,LastPlantDate,LastPlantNum,FishPerPound,DiscoverPass,InternalCombMotor,SelectiveGear
Black Lake,573.7,134,46.98279 -122.981409,1/1/2023,12/31/2023,Yes,Yes,Yes,11/17/2022,3050,1.66,No,Yes,No
Chambers Lake,53.2,203,47.025949 -122.841233,1/1/2023,12/31/2023,Yes,Yes,No,11/7/2000,218,2,No,No,No
Clear Lake (Thurston County),180.7,543,46.823009 -122.473379,4/22/2023,10/31/2023,Yes,Yes,No,5/9/2022,4500,2.5,No,Yes,No
Deep Lake (Thurston County),62.9,198,46.907414 -122.912496,1/1/2023,12/31/2023,Yes,Yes,No,5/17/2022,2500,2.5,Yes,No,No
Hicks Lake,162.3,182,47.021219 -122.799698,4/22/2023,10/31/2023,Yes,Yes,No,5/18/2022,2095,2.42,No,Yes,No
Lake Lawrence,326.5,429,46.852029 -122.571011,1/1/2023,12/31/2023,Yes,Yes,No,11/17/2022,832,1.66,No,Yes,No
Long Lake (Thurston County),307.9,160,47.021658 -122.780569,1/1/2023,12/31/2023,Yes,Yes,No,11/21/2022,1010,0.78,No,Yes,No
McIntosh Lake,109.6,334,46.866594 -122.76761,1/1/2023,12/31/2023,Yes,Yes,No,5/9/2022,4415,2.33,No,Yes,No
Munn Lake,32,145,46.985028 -122.879391,1/1/2023,12/31/2023,No,Yes,No,10/11/2022,1133,0.43,No,No,Yes
Offutt Lake,191.2,234,46.917373 -122.828873,1/1/2023,12/31/2023,Yes,Yes,Yes,11/21/2022,1010,0.78,No,Yes,No
Pattison Lake,254.6,162,46.994751 -122.77742,1/1/2023,12/31/2023,Yes,Yes,No,6/15/2022,1000,2,No,Yes,No
St. Clair Lake,233.1,77,46.994559 -122.726246,1/1/2023,12/31/2023,Yes,Yes,No,1/9/2023,611,0.75,No,Yes,No
Summit Lake,511.2,459,47.055823 -123.103347,4/22/2023,10/31/2023,Yes,Yes,No,8/18/2022,1206,1.16,No,Yes,No
Ward Lake,66.1,162,47.008767 -122.875442,1/1/2023,12/31/2023,Yes,Yes,No,11/21/2022,1125,1.66,No,Yes,No
